epoch,box,cls,dfl,Recall,Precision,F1,mAP@50,mAP
338,1.460,1.602,0.065,0.475,0.637,0.526,0.518,0.365
339,1.458,1.604,0.065,0.472,0.640,0.526,0.518,0.365
340,1.462,1.601,0.065,0.475,0.637,0.527,0.518,0.364
341,1.458,1.603,0.065,0.475,0.635,0.526,0.517,0.364
342,1.465,1.608,0.065,0.473,0.636,0.525,0.518,0.364
343,1.461,1.604,0.065,0.473,0.637,0.524,0.518,0.364
344,1.458,1.602,0.065,0.472,0.642,0.526,0.518,0.364
345,1.460,1.603,0.065,0.472,0.643,0.526,0.518,0.364
346,1.459,1.605,0.065,0.472,0.643,0.526,0.517,0.364
347,1.463,1.604,0.065,0.473,0.642,0.526,0.518,0.364
348,1.460,1.607,0.065,0.473,0.644,0.526,0.518,0.364
349,1.459,1.601,0.065,0.470,0.655,0.528,0.518,0.364
350,1.462,1.600,0.065,0.473,0.647,0.528,0.518,0.364
351,1.460,1.602,0.065,0.471,0.649,0.527,0.517,0.363
352,1.461,1.602,0.065,0.471,0.649,0.527,0.517,0.364
353,1.461,1.603,0.065,0.474,0.642,0.527,0.518,0.364
354,1.463,1.604,0.065,0.471,0.646,0.527,0.518,0.365
355,1.461,1.601,0.065,0.472,0.647,0.528,0.518,0.364
356,1.462,1.603,0.065,0.473,0.646,0.528,0.518,0.364
357,1.466,1.603,0.065,0.477,0.642,0.529,0.518,0.364
358,1.464,1.606,0.065,0.476,0.643,0.529,0.517,0.364
359,1.464,1.606,0.065,0.476,0.634,0.527,0.517,0.365
360,1.463,1.602,0.065,0.476,0.635,0.527,0.518,0.365
361,1.466,1.601,0.065,0.476,0.640,0.528,0.519,0.365
362,1.461,1.602,0.065,0.473,0.644,0.528,0.519,0.365
363,1.465,1.605,0.065,0.474,0.642,0.528,0.519,0.365
364,1.464,1.606,0.065,0.474,0.642,0.528,0.519,0.365
365,1.465,1.601,0.065,0.473,0.640,0.527,0.519,0.365
366,1.466,1.603,0.065,0.475,0.636,0.527,0.520,0.366
367,1.459,1.601,0.065,0.476,0.635,0.527,0.519,0.366
368,1.463,1.602,0.065,0.476,0.633,0.526,0.519,0.366
369,1.467,1.601,0.065,0.475,0.633,0.525,0.519,0.366
370,1.466,1.601,0.065,0.477,0.631,0.526,0.519,0.366
371,1.465,1.602,0.065,0.475,0.637,0.526,0.519,0.366
372,1.470,1.605,0.065,0.474,0.639,0.526,0.519,0.366
373,1.467,1.603,0.065,0.476,0.642,0.528,0.520,0.366
374,1.465,1.603,0.065,0.475,0.643,0.529,0.520,0.366
375,1.466,1.599,0.065,0.475,0.639,0.527,0.519,0.366
376,1.465,1.604,0.065,0.478,0.634,0.527,0.519,0.365
377,1.469,1.604,0.065,0.477,0.635,0.527,0.520,0.366
378,1.468,1.602,0.065,0.475,0.634,0.526,0.520,0.366
379,1.469,1.601,0.065,0.474,0.636,0.525,0.519,0.366
380,1.468,1.601,0.065,0.474,0.639,0.526,0.520,0.366
381,1.467,1.598,0.065,0.472,0.641,0.526,0.520,0.367
382,1.466,1.605,0.065,0.478,0.625,0.524,0.520,0.367
383,1.470,1.601,0.065,0.476,0.632,0.526,0.520,0.367
384,1.466,1.598,0.065,0.473,0.638,0.525,0.519,0.366
385,1.470,1.601,0.065,0.474,0.636,0.525,0.519,0.366
386,1.468,1.604,0.065,0.473,0.639,0.526,0.519,0.366
387,1.472,1.605,0.065,0.474,0.640,0.527,0.519,0.366
388,1.468,1.599,0.065,0.472,0.641,0.527,0.519,0.366
389,1.467,1.599,0.065,0.471,0.644,0.527,0.519,0.366
390,1.467,1.598,0.065,0.472,0.643,0.527,0.520,0.366
391,1.471,1.603,0.065,0.477,0.636,0.528,0.520,0.366
392,1.470,1.596,0.065,0.477,0.637,0.529,0.520,0.366
393,1.468,1.598,0.065,0.475,0.641,0.529,0.520,0.367
394,1.466,1.598,0.065,0.473,0.647,0.529,0.521,0.367
395,1.470,1.599,0.065,0.473,0.653,0.531,0.521,0.367
396,1.470,1.599,0.065,0.473,0.652,0.531,0.521,0.367
397,1.471,1.602,0.065,0.473,0.650,0.530,0.522,0.367
398,1.468,1.597,0.065,0.475,0.650,0.531,0.522,0.367
399,1.471,1.604,0.065,0.475,0.645,0.530,0.523,0.368
400,1.471,1.599,0.064,0.478,0.640,0.530,0.523,0.368
401,1.474,1.600,0.065,0.477,0.641,0.530,0.522,0.367
402,1.471,1.598,0.065,0.480,0.636,0.530,0.523,0.367
403,1.474,1.600,0.065,0.478,0.644,0.532,0.524,0.368
404,1.470,1.604,0.065,0.473,0.658,0.532,0.524,0.368
405,1.471,1.601,0.065,0.475,0.648,0.531,0.524,0.368
406,1.471,1.599,0.065,0.477,0.643,0.531,0.524,0.369
407,1.472,1.599,0.065,0.475,0.646,0.530,0.524,0.368
